epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7838,1.1356,4.38632,1.45137,0.35325,0.15494,0.08483,0.07189,0.88637,3.66283,1.30088,5.25e-05,5.25e-05,5.25e-05
2,24.197,0.9609,2.89884,1.32652,0.5592,0.19262,0.17592,0.14391,0.9101,2.93919,1.33699,0.000106436,0.000106436,0.000106436
3,36.3108,0.89638,2.27137,1.24592,0.61721,0.27837,0.27226,0.22614,0.91393,2.40053,1.31701,0.000159283,0.000159283,0.000159283
4,47.5612,0.84958,1.90939,1.23061,0.46937,0.36407,0.32178,0.26498,0.88962,2.20622,1.30965,0.00021104,0.00021104,0.00021104
5,58.6032,0.81001,1.59585,1.18637,0.59518,0.34651,0.35109,0.28521,0.90737,2.04518,1.3184,0.0002401,0.0002401,0.0002401
6,69.8028,0.83796,1.58482,1.21633,0.58786,0.36372,0.38742,0.30584,0.92955,2.05461,1.37496,0.000237625,0.000237625,0.000237625
7,80.7935,0.79025,1.44066,1.17454,0.67554,0.32279,0.38007,0.31616,0.90452,2.06727,1.35623,0.00023515,0.00023515,0.00023515
8,91.9927,0.81972,1.337,1.18178,0.64598,0.32294,0.38932,0.31126,0.94119,2.00768,1.38043,0.000232675,0.000232675,0.000232675
9,103.127,0.777,1.25012,1.16926,0.59526,0.37292,0.3995,0.32482,0.91711,1.8833,1.36093,0.0002302,0.0002302,0.0002302
10,115.717,0.75656,1.15064,1.1522,0.50794,0.41095,0.42403,0.33072,0.92544,1.91042,1.37464,0.000227725,0.000227725,0.000227725
11,127.045,0.7299,1.10583,1.13193,0.60047,0.44117,0.48421,0.39014,0.90632,1.83002,1.36021,0.00022525,0.00022525,0.00022525
12,139.84,0.725,1.04171,1.12712,0.65142,0.41222,0.46137,0.36487,0.92916,1.7952,1.39162,0.000222775,0.000222775,0.000222775
13,150.558,0.73887,1.02093,1.13889,0.69124,0.39956,0.47285,0.3826,0.92222,1.88277,1.36412,0.0002203,0.0002203,0.0002203
14,161.576,0.70518,0.96865,1.10304,0.4972,0.44935,0.47292,0.36852,0.91032,1.80261,1.3598,0.000217825,0.000217825,0.000217825
15,171.83,0.67315,0.8859,1.08993,0.68526,0.41887,0.51565,0.38751,0.93455,1.68432,1.37594,0.00021535,0.00021535,0.00021535
16,182.356,0.70383,0.91203,1.10757,0.55207,0.44023,0.4916,0.36912,0.96111,1.81002,1.4261,0.000212875,0.000212875,0.000212875
17,192.553,0.66404,0.84887,1.08975,0.64864,0.43472,0.49094,0.38267,0.96496,1.97169,1.42686,0.0002104,0.0002104,0.0002104
18,202.965,0.67594,0.83213,1.09054,0.70979,0.45483,0.5327,0.40745,0.91208,1.73922,1.36669,0.000207925,0.000207925,0.000207925
19,213.429,0.61057,0.74244,1.0357,0.71284,0.43325,0.49672,0.39404,0.89443,1.73303,1.3455,0.00020545,0.00020545,0.00020545
20,223.971,0.6082,0.71582,1.04028,0.7261,0.39148,0.49306,0.39809,0.90481,1.79226,1.34899,0.000202975,0.000202975,0.000202975
21,234.468,0.61136,0.7217,1.05464,0.56238,0.52698,0.53178,0.42785,0.93207,1.81888,1.38076,0.0002005,0.0002005,0.0002005
22,244.949,0.60896,0.70786,1.04536,0.60989,0.46082,0.49632,0.39624,0.97609,1.95461,1.3975,0.000198025,0.000198025,0.000198025
23,255.299,0.60641,0.66305,1.04246,0.63866,0.43583,0.47485,0.38495,0.91042,1.8603,1.35586,0.00019555,0.00019555,0.00019555
24,265.744,0.62152,0.69685,1.05199,0.52898,0.47721,0.4845,0.39042,0.91355,1.81184,1.36925,0.000193075,0.000193075,0.000193075
25,276.439,0.58157,0.62012,1.02168,0.62973,0.44948,0.50852,0.40837,0.92276,1.83173,1.39796,0.0001906,0.0001906,0.0001906
26,288.501,0.56312,0.62635,1.01604,0.69271,0.47513,0.51393,0.41296,0.92032,1.71811,1.39884,0.000188125,0.000188125,0.000188125
27,298.634,0.5786,0.59404,1.01764,0.56868,0.4505,0.50594,0.41068,0.93181,1.67375,1.39672,0.00018565,0.00018565,0.00018565
28,308.832,0.57388,0.58141,1.02262,0.72195,0.39887,0.50027,0.41378,0.93156,1.74546,1.40953,0.000183175,0.000183175,0.000183175
29,319.01,0.56766,0.59667,1.02272,0.75571,0.42658,0.48107,0.38921,0.91135,1.78156,1.3871,0.0001807,0.0001807,0.0001807
30,329.684,0.56052,0.58491,1.00772,0.65194,0.45398,0.51224,0.41664,0.88706,1.75287,1.35022,0.000178225,0.000178225,0.000178225
31,340.061,0.55995,0.5711,1.01405,0.69491,0.47407,0.56805,0.44547,0.91539,1.82652,1.38621,0.00017575,0.00017575,0.00017575
32,350.708,0.56317,0.56873,1.01591,0.52705,0.50963,0.55395,0.43578,0.91315,1.68541,1.38128,0.000173275,0.000173275,0.000173275
33,361.085,0.5469,0.54585,1.00102,0.68437,0.45595,0.53403,0.4332,0.91367,1.69815,1.37529,0.0001708,0.0001708,0.0001708
34,371.502,0.54693,0.55134,1.00497,0.63064,0.47424,0.52238,0.42395,0.91075,1.76476,1.36331,0.000168325,0.000168325,0.000168325
35,381.883,0.53219,0.52553,0.98693,0.6642,0.48814,0.52701,0.42789,0.87347,1.70016,1.33827,0.00016585,0.00016585,0.00016585
36,392.46,0.51289,0.50732,0.98752,0.77826,0.43201,0.53561,0.42895,0.89496,1.75024,1.34132,0.000163375,0.000163375,0.000163375
37,402.86,0.5509,0.52832,0.99959,0.71185,0.46443,0.55206,0.44018,0.90364,1.66515,1.36029,0.0001609,0.0001609,0.0001609
38,414.585,0.52137,0.50117,0.97965,0.65307,0.48102,0.53544,0.43371,0.91481,1.79086,1.38466,0.000158425,0.000158425,0.000158425
39,426.493,0.49514,0.47139,0.96253,0.70862,0.44017,0.52984,0.43456,0.88445,1.79424,1.34416,0.00015595,0.00015595,0.00015595
40,437.321,0.51592,0.47441,0.98895,0.71363,0.45292,0.54239,0.43725,0.90216,1.65852,1.36638,0.000153475,0.000153475,0.000153475
41,447.613,0.50865,0.48931,0.97381,0.67145,0.47701,0.53516,0.43804,0.88624,1.65638,1.35495,0.000151,0.000151,0.000151
42,458.05,0.52825,0.49106,0.99862,0.72305,0.45625,0.55797,0.42725,0.91817,1.70307,1.37766,0.000148525,0.000148525,0.000148525
43,468.44,0.49567,0.45886,0.96639,0.55725,0.51423,0.55265,0.43356,0.9143,1.68825,1.37503,0.00014605,0.00014605,0.00014605
44,478.958,0.49017,0.47535,0.97711,0.60876,0.50154,0.53468,0.43776,0.89528,1.68665,1.36861,0.000143575,0.000143575,0.000143575
45,489.193,0.48487,0.4727,0.97155,0.75961,0.46176,0.54503,0.4371,0.91397,1.67999,1.37636,0.0001411,0.0001411,0.0001411
46,499.662,0.51632,0.48528,0.98057,0.72956,0.45973,0.53798,0.4303,0.92275,1.65685,1.38493,0.000138625,0.000138625,0.000138625
