epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.737,1.13182,4.28634,1.43838,0.72021,0.1308,0.11385,0.09317,0.92174,3.91408,1.30694,5.5e-05,5.5e-05,5.5e-05
2,24.6442,0.99819,2.9173,1.3577,0.43264,0.29032,0.18017,0.14283,0.89926,3.38844,1.2985,0.000111386,0.000111386,0.000111386
3,37.2841,0.93618,2.26659,1.28637,0.43821,0.31187,0.26823,0.21189,0.90753,2.72372,1.29691,0.000166634,0.000166634,0.000166634
4,48.5573,0.84447,1.91357,1.227,0.54708,0.28244,0.29541,0.23564,0.90729,2.30225,1.32788,0.000220743,0.000220743,0.000220743
5,59.7205,0.85719,1.69594,1.22752,0.57646,0.34709,0.33587,0.27113,0.91274,2.10531,1.34636,0.0002401,0.0002401,0.0002401
6,71.0943,0.81321,1.49812,1.20139,0.61928,0.35368,0.39261,0.31199,0.89342,2.0021,1.30846,0.000237625,0.000237625,0.000237625
7,82.4067,0.85564,1.4825,1.21414,0.72772,0.39314,0.43526,0.35769,0.89944,1.88019,1.33081,0.00023515,0.00023515,0.00023515
8,93.6409,0.80943,1.34219,1.19828,0.73652,0.36559,0.41536,0.34304,0.87827,1.90321,1.31186,0.000232675,0.000232675,0.000232675
9,104.615,0.76167,1.18026,1.15659,0.6215,0.39485,0.44045,0.354,0.87111,1.85032,1.30172,0.0002302,0.0002302,0.0002302
10,115.746,0.75466,1.11522,1.15532,0.68766,0.39548,0.45482,0.37905,0.85478,1.71437,1.28655,0.000227725,0.000227725,0.000227725
11,127.024,0.76876,1.11308,1.14496,0.6289,0.36398,0.40846,0.32896,0.87979,1.87869,1.30243,0.00022525,0.00022525,0.00022525
12,139.353,0.73567,1.03047,1.12376,0.61746,0.39637,0.44126,0.35861,0.90036,1.84796,1.31361,0.000222775,0.000222775,0.000222775
13,151.217,0.70511,0.9805,1.1207,0.64402,0.43753,0.46833,0.38123,0.89057,1.79917,1.31003,0.0002203,0.0002203,0.0002203
14,162.384,0.6927,0.92008,1.08876,0.65108,0.44329,0.50277,0.40694,0.86687,1.72624,1.30424,0.000217825,0.000217825,0.000217825
15,173.512,0.70617,0.9247,1.11731,0.54243,0.53611,0.52838,0.42607,0.85001,1.66577,1.27157,0.00021535,0.00021535,0.00021535
16,184.653,0.69534,0.87328,1.11314,0.70445,0.42713,0.53572,0.43633,0.85997,1.67514,1.29924,0.000212875,0.000212875,0.000212875
17,195.658,0.69152,0.8608,1.10972,0.78073,0.38998,0.52571,0.42639,0.89174,1.67444,1.31832,0.0002104,0.0002104,0.0002104
18,206.692,0.67482,0.81349,1.08928,0.73697,0.43083,0.51966,0.42474,0.91474,1.72288,1.36133,0.000207925,0.000207925,0.000207925
19,217.811,0.66817,0.78609,1.08276,0.60785,0.48334,0.53696,0.44684,0.84067,1.639,1.28217,0.00020545,0.00020545,0.00020545
20,228.968,0.61717,0.76235,1.05539,0.7608,0.4102,0.52703,0.42485,0.8455,1.64875,1.29039,0.000202975,0.000202975,0.000202975
21,240.194,0.62784,0.7519,1.06101,0.6085,0.50225,0.51077,0.40885,0.90604,1.76134,1.33565,0.0002005,0.0002005,0.0002005
22,251.308,0.63462,0.71791,1.07143,0.65301,0.52215,0.55677,0.43763,0.85938,1.63954,1.28473,0.000198025,0.000198025,0.000198025
23,262.434,0.62327,0.6963,1.05364,0.73623,0.4673,0.56528,0.449,0.86858,1.64955,1.3,0.00019555,0.00019555,0.00019555
24,274.416,0.59001,0.64265,1.03599,0.68163,0.47151,0.571,0.45509,0.86138,1.6338,1.31602,0.000193075,0.000193075,0.000193075
25,286.373,0.61343,0.65917,1.06009,0.56789,0.54334,0.59031,0.47579,0.86305,1.71754,1.31839,0.0001906,0.0001906,0.0001906
26,297.588,0.59273,0.62703,1.03501,0.70193,0.51151,0.58855,0.46849,0.85174,1.66086,1.28208,0.000188125,0.000188125,0.000188125
27,308.781,0.59633,0.60929,1.03078,0.63723,0.48259,0.58819,0.47494,0.87591,1.67433,1.32579,0.00018565,0.00018565,0.00018565
