epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.51022,1.30444,4.78785,1.53518,0.39577,0.03212,0.04081,0.03158,1.16755,4.49274,1.4613,2e-05,2e-05,2e-05
2,11.7887,1.10236,3.88458,1.39094,0.66782,0.13856,0.09207,0.0777,1.10863,3.74216,1.40406,4.20793e-05,4.20793e-05,4.20793e-05
3,17.3852,1.06493,3.024,1.35282,0.66188,0.16077,0.13221,0.11003,1.09947,2.92308,1.37563,6.3713e-05,6.3713e-05,6.3713e-05
4,22.6105,0.95216,2.50078,1.27572,0.5905,0.19562,0.23952,0.19185,1.13865,2.79398,1.39292,8.49012e-05,8.49012e-05,8.49012e-05
5,28.056,0.91324,2.09414,1.27002,0.71882,0.25299,0.29885,0.23954,1.10642,2.50015,1.37411,0.000105644,0.000105644,0.000105644
6,33.3104,0.9043,1.89691,1.21986,0.52973,0.35839,0.34287,0.26641,1.14507,2.2281,1.3999,0.000125941,0.000125941,0.000125941
7,38.5204,0.8838,1.75274,1.22399,0.5017,0.37545,0.3716,0.29174,1.08017,2.00867,1.36235,0.000145793,0.000145793,0.000145793
8,43.5892,0.81187,1.51835,1.17425,0.67684,0.30829,0.37302,0.29601,1.11163,1.93305,1.37116,0.000165199,0.000165199,0.000165199
9,48.815,0.83755,1.46437,1.18133,0.72343,0.29428,0.36699,0.28302,1.15638,2.07405,1.39858,0.00018416,0.00018416,0.00018416
10,53.7645,0.82936,1.32219,1.17554,0.65278,0.39262,0.41077,0.31386,1.11707,2.07088,1.38583,0.000202675,0.000202675,0.000202675
11,58.9832,0.80862,1.23568,1.1483,0.69118,0.27206,0.39067,0.30664,1.07561,1.96707,1.32896,0.000220745,0.000220745,0.000220745
12,64.187,0.77423,1.16791,1.12356,0.5923,0.33957,0.37512,0.29712,1.08857,1.83689,1.34949,0.000222775,0.000222775,0.000222775
13,68.9035,0.73985,1.05372,1.10704,0.6214,0.32335,0.37101,0.306,1.09576,1.65467,1.36078,0.0002203,0.0002203,0.0002203
14,74.083,0.73569,0.99433,1.10633,0.64991,0.3307,0.37366,0.30733,1.09787,1.62143,1.36683,0.000217825,0.000217825,0.000217825
15,79.2694,0.73901,0.95215,1.09822,0.66192,0.3186,0.39969,0.32147,1.08695,1.66476,1.36717,0.00021535,0.00021535,0.00021535
16,84.3868,0.70581,0.93333,1.08465,0.47549,0.45217,0.44285,0.35875,1.07798,1.56761,1.37465,0.000212875,0.000212875,0.000212875
17,89.1496,0.69879,0.8484,1.07281,0.6472,0.40582,0.42961,0.34903,1.08963,1.55923,1.37544,0.0002104,0.0002104,0.0002104
18,94.2963,0.69993,0.86472,1.09176,0.6075,0.45189,0.44053,0.3487,1.10984,1.68731,1.41232,0.000207925,0.000207925,0.000207925
19,99.423,0.66503,0.8282,1.0626,0.65646,0.3646,0.39708,0.30719,1.10817,1.64343,1.41175,0.00020545,0.00020545,0.00020545
20,104.606,0.65577,0.77676,1.05235,0.62494,0.38837,0.41942,0.33513,1.12707,1.79646,1.46966,0.000202975,0.000202975,0.000202975
21,109.479,0.62728,0.74761,1.03736,0.79606,0.31123,0.45199,0.35323,1.1507,2.07443,1.48425,0.0002005,0.0002005,0.0002005
22,114.38,0.64842,0.72795,1.05461,0.78899,0.33654,0.45856,0.35937,1.24121,2.16996,1.54175,0.000198025,0.000198025,0.000198025
23,119.568,0.64542,0.7032,1.04179,0.59686,0.42803,0.44212,0.35699,1.19907,1.9464,1.47977,0.00019555,0.00019555,0.00019555
24,124.521,0.63218,0.69308,1.04296,0.55142,0.43676,0.45665,0.35902,1.19365,1.70947,1.48777,0.000193075,0.000193075,0.000193075
25,129.244,0.60026,0.62502,1.01914,0.43546,0.42856,0.42775,0.35168,1.16671,1.72746,1.49003,0.0001906,0.0001906,0.0001906
26,136.577,0.625,0.641,1.03785,0.44312,0.42709,0.42573,0.35133,1.1732,1.82969,1.48623,0.000188125,0.000188125,0.000188125
27,141.179,0.62608,0.63623,1.03417,0.51132,0.41272,0.4281,0.35385,1.1453,1.71945,1.4688,0.00018565,0.00018565,0.00018565
